question_id,question_ko,question_en,acceptable_answers,reference_snippet_ko,reference_snippet_en,difficulty,tags
Q033,예수님을 판 제자는?,Who betrayed Jesus?,"가롯 유다|유다가,Judas Iscariot",은 삼십 닢을 떠올려 보세요.,Think of the 30 pieces of silver.,1,gospel
Q034,예수님이 부활하신 날은?,What day did Jesus resurrect?,"3일째|사흘째,Third day",빈 무덤을 떠올려 보세요.,Think of overcoming death.,1,gospel
Q035,예수님이 승천 후 제자들에게 보내주신 분은?,What day did the Holy Spirit come?,"성령님|성령이,Holy Spirit",불의 혀처럼 갈라진 것을 떠올려 보세요.,Think of the tongues of fire at Pentecost.,2,nt
Q036,최초의 순교자는?,Who was the first martyr?,"스데반|스데반이,Stephen",돌에 맞는 모습을 떠올려 보세요.,Think of the person who saw the throne of heaven.,3,nt
Q037,다메섹에서 예수님을 만난 사도는?,Which apostle converted on the road to Damascus?,"바울|바울이,Paul",빛 가운데서 눈이 멀었던 것을 떠올려 보세요.,Think of the one who appeared in the light.,2,nt
Q038,사도 바울이 사랑을 노래한 장은?,Which chapter is famous as the love chapter?,"고린도전서 13장|고린도전서,1 Corinthians 13",사랑은 오래 참고를 떠올려 보세요.,Think of the praise of love.,3,nt
Q039,성경의 마지막 책은?,What is the final prophetic book?,"요한계시록|계시록이,Revelation",밧모 섬의 환상을 떠올려 보세요.,Think of the promise for the future.,1,nt
Q040,성경에서 가장 긴 장은?,What is the longest chapter?,"시편 119편|시편 119,Psalm 119",말씀의 등불을 떠올려 보세요.,It talks about the preciousness of God's word.,3,ot
Q041,노아의 방주에 탄 식구는 몇 명?,How many family members on the Ark?,"8명|여덟 명,8",무지개를 떠올려 보세요.,Think of Noah and his family.,1,ot
Q042,이삭의 부인 이름은?,Who was Rachel's older sister?,"리브가|리브가가,Rebekah",우물가에서 물을 긷는 모습을 떠올려 보세요.,Think of Jacob's marriage.,2,ot
Q043,야곱의 열두 아들 중 가장 사랑받은 아들은?,Who was the dream interpreter and PM?,"요셉|요셉이,Joseph",채색옷을 떠올려 보세요.,Think of the Prime Minister of Egypt.,2,ot
Q044,십계명 중 1계명은?,What was forbidden?,"하나님 외에 다른 신을 섬기지 말라|우상 숭배 금지,No idols",하나님만 바라보는 마음을 떠올려 보세요.,Think of the Ten Commandments.,2,ot
Q045,놋뱀을 만든 인물은?,Who parted the Red Sea?,"모세|모세가,Moses",불뱀을 떠올려 보세요.,Think of the staff.,3,ot
Q046,이스라엘의 마지막 사사는?,Whom did Samuel anoint as king?,"사무엘|사무엘이,Samuel",기름병을 떠올려 보세요.,Think of David.,3,ot
Q047,골리앗을 이긴 물맷돌은 몇 개인가요?,What did David use against Goliath?,"다섯 개|물맷돌 5개,5 stones",시냇가를 떠올려 보세요.,Think of the stones picked from the brook.,2,ot
Q048,예수님이 광야에서 받은 유혹은 몇 가지?,How many times did Peter deny Jesus?,"세 가지|세 번,3 times",말씀으로 승리하신 것을 떠올려 보세요.,Think of the rooster crowing.,2,gospel
Q049,산상수훈에서 강조한 마음은?,Who is blessed?,"팔복|복 있는 사람,Blessed",심령이 가난함을 떠올려 보세요.,Think of the Sermon on the Mount.,3,parable
Q050,성령 강림 때 모인 장소는?,Where was the Last Supper?,"마가의 다락방|다락방이,Upper Room",기도하던 제자들을 떠올려 보세요.,Think of the disciples' gathering.,2,nt
Q051,예수님이 고향 나사렛에서 배척받으신 이유는?,Why did no miracle happen?,"믿음이 없어서|기적을 행치 않아서,Lack of faith",고향 사람들의 불신을 떠올려 보세요.,Think of disbelief.,2,gospel
Q052,예수님이 제자들의 발을 씻겨주신 이유는?,What is a fruit of the Spirit?,"섬김|겸손,Service|Humility",수건을 두르신 모습을 떠올려 보세요.,Think of washing the disciples' feet.,2,gospel
Q053,다윗이 밧세바를 범한 후 회개하며 지은 시는?,Which psalm did David repent in?,"시편 51편|시편,Psalm 51",나단 선지자의 책망을 떠올려 보세요.,Think of the prayer tearing the heart.,3,ot
Q054,출애굽기에서 열 번째 재앙은 무엇인가요?,What was the last plague of Exodus?,"장자의 죽음|모든 첫 태생의 죽음,Death of the firstborn",어린 양의 피를 떠올려 보세요.,Think of the Passover.,2,ot
Q055,예수님이 산 위에서 얼굴이 해같이 빛나신 사건은?,What mountain was Jesus' glory seen on?,"변화산 사건|변화산,Mount of Transfiguration",엘리야와 모세를 떠올려 보세요.,Think of the shining appearance.,3,gospel
Q056,사도 바울이 쓴 서신서 중 가장 먼저 쓰인 것은?,What is one of Paul's letters?,"데살로니가전서|데살로니가,1 Thessalonians",복음 전파의 열정을 떠올려 보세요.,Think of the letter to the church.,3,nt
Q057,하나님이 아브라함에게 명하신 할례의 상징은?,What is another word for covenant?,"언약|약속,Covenant|Promise",몸에 새긴 표징을 떠올려 보세요.,Think of the promise with God.,2,ot
Q058,야곱이 하나님과 씨름하여 얻은 이름은?,What name did Jacob change to?,"이스라엘|야곱의 이름이 바뀜,Israel",브니엘을 떠올려 보세요.,Think of the place where he wrestled with God.,2,ot
Q059,베드로가 물고기를 잡지 못하다 그물을 내려 많이 잡은 곳은?,What body of water did Jesus walk on/change water in?,"갈릴리 호수|게네사렛 호수,Sea of Galilee",깊은 데로 가라는 말씀을 떠올려 보세요.,Think of the place where he cast the nets.,2,gospel
Q060,엘리사가 엘리야로부터 받은 능력의 배는?,Who asked for a double portion of spirit from Elijah?,"갑절|두 배,Double portion",떨어진 겉옷을 떠올려 보세요.,Think of Elisha's faith.,3,ot
Q061,예수님이 비유로 말씀하신 씨 뿌리는 자의 네 가지 땅은?,What soils are in the parable of the sower?,"길가|돌밭|가시떨기|좋은 땅|네 가지 밭,Types of soil",다양한 결실을 떠올려 보세요.,Think of the soil of the heart.,2,parable
Q062,다윗이 성전을 지으려 했으나 허락받지 못한 이유는?,Why did Israel lose the battle?,"전쟁을 많이 해서|피를 많이 흘려서,Because of many wars",성전 건축의 준비를 떠올려 보세요.,Think of God's will.,3,ot
Q063,출애굽 당시 이스라엘 백성이 홍해를 건넌 후 부른 노래는?,What did Moses sing after crossing the Red Sea?,"모세의 노래|미리암의 노래,Song of Moses",구원을 감사하는 찬양을 떠올려 보세요.,Think of the praise of victory.,2,ot
Q064,예수님이 겟세마네 동산에서 드린 기도의 내용은?,What is the core prayer of the Lord's Prayer?,"내 뜻대로 마옵시고 아버지 뜻대로 하옵소서|잔을 옮겨 주소서,Your will be done",땀방울이 핏방울 되도록을 떠올려 보세요.,Think of the prayer in Gethsemane.,3,gospel
Q065,바울이 옥중에서 쓴 서신을 통칭하여 무엇이라 하나요?,What are the prison epistles?,"옥중서신|4대 옥중서신,Prison epistles",사슬에 매인 바울을 떠올려 보세요.,Think of the teachings in prison.,3,nt
Q066,하나님이 사무엘에게 다윗을 왕으로 기름 부으러 보낸 곳은?,Why is Jesus the descendant of David?,"베들레헴|이새의 집,House of Jesse",뿔에 기름을 채움을 떠올려 보세요.,Think of the roots of the family line.,2,ot
Q067,예수님이 나사로를 살리실 때 하신 말씀은?,"Who shouted, ""Lazarus!""?","나사로야 나오너라|나오라,Lazarus come forth",무덤 문을 열고를 떠올려 보세요.,Think of the miracle of waking from death.,2,gospel
Q068,사도행전에서 성령 강림 후 제자들이 말한 것은?,What did the disciples do at Pentecost?,"방언|다른 언어들,Speaking in tongues",성령의 충만함을 떠올려 보세요.,Think of being filled with the Spirit.,2,nt
Q069,여호수아가 태양을 멈추게 한 곳은?,What place did Joshua conquer?,"기브온|아얄론 골짜기,Gibeon and Ajalon",전쟁에서의 승리를 떠올려 보세요.,Think of the place where the sun stood still.,3,ot
Q070,예수님이 가르치신 주기도문의 시작은?,How does the Lord's Prayer begin?,"하늘에 계신 우리 아버지|예하늘에 계신,Our Father in heaven",기도의 모범을 떠올려 보세요.,Think of God's greatness.,1,gospel
Q071,다니엘의 세 친구가 들어간 곳은?,What was the faith of those in the fiery furnace?,"풀무불|뜨거운 풀무불,Fiery furnace",타지 않는 불꽃을 떠올려 보세요.,Think of the faith that did not burn.,3,ot
Q072,예수님이 비유로 말씀하신 선한 사마리아인은 누구를 도왔나요?,What is the parable of the Good Samaritan about?,"강도 만난 자|거의 죽어가는 자,The victim",길가의 도움을 떠올려 보세요.,Think of love for neighbor.,2,parable
Q073,하나님이 아브라함에게 제물로 바치라고 한 산은?,What mountain was Isaac offered on?,"모리아 산|모리아,Mount Moriah",이삭을 데리고 가는 아브라함을 떠올려 보세요.,Think of the place of obedience.,3,ot
Q074,예수님이 가나 혼인 잔치에서 물을 무엇으로 바꾸셨나요?,What was the wine at the Cana wedding?,"포도주|좋은 포도주,Good wine",기쁨의 잔치를 떠올려 보세요.,Think of the feast of joy.,1,gospel
Q075,사도 바울이 쓴 서신 중 교회와 성도의 관계를 몸으로 표현한 책은?,What are Paul's epistles?,"에베소서|고린도전서,Ephesians and Corinthians",교회는 몸이라는 가르침을 떠올려 보세요.,Think of the letters to the churches.,3,nt
Q076,솔로몬이 하나님께 구한 것은?,What did Solomon ask for?,"지혜 듣는 마음,Wise heart",재판하는 왕의 지혜를 떠올려 보세요.,Think of the king's judgment.,2,ot
Q077,예수님이 십자가에서 마지막으로 하신 말씀 중 하나는?,What were Jesus' last words?,"다 이루었다|다 이루었다 하시고,It is finished",구원의 완성을 떠올려 보세요.,Think of the completion of salvation.,2,gospel
Q078,베드로가 처음으로 이방인에게 세례를 준 사람은?,Who was the centurion Peter visited?,"고넬료|백부장 고넬료,Cornelius",환상을 본 베드로를 떠올려 보세요.,Think of the evangelism to the Gentiles.,3,nt
Q079,하나님이 노아에게 무지개를 통해 하신 약속은?,What is God's eternal promise?,"다시는 물로 심판하지 않겠다|영원한 약속,Eternal promise",구름 사이의 무지개를 떠올려 보세요.,Think of the rainbow.,2,ot
Q080,예수님이 제자들에게 마지막으로 하신 명령은?,What is the Great Commission?,"땅끝까지 내 증인이 되라|모든 민족으로 제자를 삼으라,Great Commission",지상명령을 떠올려 보세요.,Think of the final request.,2,gospel
